batch_id,ph_setpoint,temperature_C,rpm,DO_percent,feed_rate_day3_mL_h,feed_rate_day5_mL_h,inoculation_density_E6_cells_mL,glucose_setpoint_g_L,harvest_VCD_E6_cells_mL,duration_hours,aeration_rate_vvm,pressure_bar,agitator_tip_speed_m_s,bioreactor_id,raw_material_lot_supplier,operator_shift,media_lot,deviation_reported,feed_strategy_alternative,ambient_humidity_percent,batch_sequence_number,lab_room_id,osmolality_mOsm_kg,seed_train_age_hours,antifoam_addition_mL
B001,7.254630997310698,37.16856103416143,119.34839218656376,42.25241948758457,38.81744902416557,35.67216583283829,0.6451434504496532,5.474748763853812,14.963467130994164,156.84498093008523,0.3829563909644776,0.8663425577056746,1.4381565035033719,BR-4,Supplier_C,Night,Lot-001,0.0,0.0,34.674124029887345,1.0,Lab-102,327.3366427847902,74.00129406981723,5.514030657479945
B002,6.984546879825467,36.500943678305816,120.7589586371044,41.96756919442958,40.01415278781165,45.19523958685721,0.7731186876880964,,12.03285169876204,173.79602680772675,0.26141955966673414,0.99486910131341,1.5568209639100394,BR-3,Supplier_C,Day,Lot-001,0.0,0.0,49.39134522067321,2.0,Lab-102,314.36036557210616,73.11307983950846,3.5432588457266405
B003,7.095421780811034,36.508162443655316,121.66421052163739,49.318725923527765,40.29609577308108,50.82318786936669,1.0247023216653477,5.19281384565985,17.717181579641395,172.59185028786555,0.32966814372862746,0.8421831624968676,1.5361272478652603,BR-5,Supplier_A,Day,Lot-003,,0.0,52.40783084645539,3.0,Lab-102,314.6310740128736,76.12591490705408,3.7515315180689774
B004,6.596214046156023,37.05673480085295,124.70671807412216,50.31344074904784,30.737310587136296,33.7930730212216,0.8739974009615857,3.929068340337163,16.28022841007698,150.5275497951156,0.4023995141554508,0.8588065413651303,1.506207360669157,BR-4,Supplier_B,Day,Lot-011,0.0,0.0,38.75038345248332,4.0,Lab-201,307.99164800133593,75.27667098535468,3.4719299752953003
B005,6.821857421152241,36.92039601582741,133.3717953181796,43.41942533776657,42.700771515745586,39.01402091018486,0.8875975688219709,4.143076565117065,14.70996588467302,162.367670933326,,0.7337950936906139,1.6764544930855527,BR-1,Supplier_A,Night,Lot-006,0.0,0.0,47.07338598545703,5.0,Lab-101,316.4294871523953,73.45586562794317,1.3164577795288932
B006,6.977119794372617,37.09205858660244,108.6667411889893,38.4974724582217,33.59883566868982,51.69753342652988,0.8337501324428653,4.6802660617796255,9.139973540855891,158.2313290389015,0.31654787959801317,0.71704740475709,1.3047416194635668,BR-5,Supplier_B,Day,Lot-009,,0.0,46.069866837517075,6.0,Lab-201,318.8159843329686,75.33969999406533,2.4152189838922546
B007,6.837016056143166,36.83431515317504,107.93634088519046,45.39612778782016,41.480718530340184,,0.8595932246388717,4.5906291608643945,12.336484846950132,177.64158971613432,0.3887146427774854,0.9466263557418666,1.4672777240073025,BR-4,Supplier_A,Day,Lot-005,0.0,1.0,61.737205268546106,7.0,Lab-102,305.5888978930178,71.74390142263513,5.345530880568303
B008,7.158591366873519,36.997350304259115,108.8801137053514,38.304576538729805,37.941487278599936,48.6778152838239,0.9133131436334243,4.755687723405494,,153.8491079368622,,0.7461216176053357,1.659446066098781,BR-4,Supplier_B,Night,Lot-003,0.0,0.0,62.395968296100584,8.0,Lab-201,313.4994670096814,74.4773483713344,1.0460690943680397
B009,7.389513375534639,36.95534167971679,125.46700000602448,41.99025143989656,30.429868755071286,58.08671624955153,0.7228616417328679,5.196483338511481,17.168344121790945,180.43806194216512,0.42273901274449943,0.7364844742825086,1.451746435944901,BR-1,Supplier_B,Day,Lot-005,0.0,0.0,33.68514885335839,9.0,Lab-102,307.6788136073146,67.64313358388185,2.9271585105380122
B010,6.818209350502726,37.172218586179724,136.93936854375735,48.90295421872538,36.26091262480347,49.045593060290315,0.925367029468984,3.6291288265834325,16.94017358528269,165.70034734434756,0.3747592817142336,0.8168720863026757,1.2925909265168045,BR-3,Supplier_C,Day,,0.0,0.0,66.95141604582392,10.0,Lab-101,342.5959688353781,74.21823555383477,3.4403919211943306
