batch_id,batch_sequence_number,sodium_hydroxide_g,drying_temperature_C,drying_time_hours,ambient_humidity_percent,pH_after_neutralization,mixing_time_min,water_addition_L,filtration_pressure_bar,hold_time_hours,reactor_id,operator_shift,raw_material_lot,deviation_reported
MS001,1,91.59246852204326,57.768678230260576,8.879314648987952,47.64502723935042,7.115483866832826,42.44727107143345,241.45402585791496,1.09268060044171,5.183233900967922,RX-4,Day,,0
MS002,2,96.87381346252299,55.9809033031698,8.551058972144554,34.80208042227202,7.183667802121562,40.162581572467666,252.4923087477152,1.1288153043243214,6.692879636807364,RX-2,Night,RM-009,0
MS003,3,110.94736472095862,53.5566677046798,9.248043740278817,69.97023496463156,7.296265527226238,54.24408681252247,238.1389368527389,1.1307407470544963,4.925603168180476,RX-3,Night,RM-009,0
MS004,4,101.64878256262722,58.85830145498167,9.292942878209109,51.197211481307185,7.192879923267094,45.26368744496704,255.68220254528472,1.1397325300616143,5.901483722809477,RX-1,Night,RM-004,0
MS005,5,107.82196264693879,53.96860891945832,8.402374502270773,61.41979133292037,7.183459144034263,35.63461205322996,264.3761614458003,1.0730117217018782,3.8184669589955496,RX-1,Night,RM-006,0
MS006,6,104.90538222568664,52.434657925381266,7.639276200929582,48.318651609003126,7.171180715885799,51.379341710587525,281.01080415279955,1.1217075884781538,4.611475807759198,RX-3,Day,RM-004,1
MS007,7,94.59005900584667,54.075522519455475,8.742638814503962,26.288230840545705,7.235520219709815,32.75483676605559,239.37504446235846,1.0062059113766755,4.977442525797321,RX-1,Day,RM-007,0
MS008,8,104.6065938734875,54.384186962840445,6.142316185682041,60.89332521103161,7.221066711750678,46.186114228914796,264.81833871937283,0.951928238353826,5.275426133060755,RX-3,Night,RM-003,0
MS009,9,97.30893866509057,55.657662360823736,5.37636018505708,65.56745261596154,7.224224268809519,52.91338493415143,260.5432090410683,1.0120623300942722,4.9535368990768145,RX-1,Day,RM-008,1
MS010,10,97.25969251264884,54.65613971534493,10.24140796108226,72.65707307771332,7.153604176440605,44.44449877688379,236.0363109714181,1.1451279131513181,4.977097064063848,RX-4,Night,RM-003,0
MS011,11,100.82592220869888,54.90688690527239,7.512908004496301,50.967966363134465,6.96995363947768,,252.93244450155692,1.2231835217676539,4.733898394421283,RX-4,Day,RM-003,0
MS012,12,87.02959154458891,58.22487160186032,9.273933214661438,46.9566921213788,7.126219035129771,45.31632609272038,266.35652267641143,1.4291593008925227,5.607508286335925,RX-3,Day,RM-001,0
MS013,13,110.1334118848641,58.389502249723456,10.53189098417445,53.88501537274104,7.179035833180695,41.32808620689505,242.4595227249538,1.0656190282043645,5.489927140955679,RX-1,Night,RM-002,0
MS014,14,94.29573776102006,57.598557540034456,10.03042052441171,40.75933121351739,7.0995667862873715,43.87310896971474,255.29851405324408,1.2644056548781273,4.531244599469289,RX-1,Day,RM-003,0
MS015,15,80.2952600879601,55.07166623776407,4.552768461037725,42.56231577616116,7.243997778556382,33.15885510586059,248.09984918536531,1.1398787013314937,4.006419492392609,RX-1,Night,RM-005,0
MS016,16,101.1587295527515,53.998227767720564,8.687131044265865,58.922685190749036,7.100852180684562,45.60300525194662,254.23852790693377,1.102373504331983,4.086212417274473,RX-2,Night,RM-003,0
MS017,17,113.02228117684477,55.30467815080127,6.450869533010902,49.59529621679021,6.981265667813963,38.04558658858636,241.26363542571468,1.229099012801274,7.043473017175791,RX-2,Day,RM-005,0
MS018,18,94.39025998276952,55.55991541509586,8.04314034787401,46.34343823542303,7.25690624425658,47.283000618993086,251.10211296261156,1.1302974586940318,5.397806099857243,RX-3,Day,RM-002,0
MS019,19,97.3497437200057,58.524341244469014,9.769025426512496,56.442230608047026,7.160715126366141,40.269734058783975,255.77250244134916,1.055321498067375,6.106373815731779,RX-3,Night,RM-003,0
MS020,20,102.87103757575002,55.159346567814374,8.248039360543997,48.31434461936016,7.182350904526948,41.57373856959586,243.5281315233844,1.0602190524062232,5.989367990922738,RX-1,Night,RM-004,0
MS021,21,81.23649566530166,52.38583051590174,4.5,78.63107653305153,7.0205893494542435,40.9167171485888,240.09677778266254,1.0304606740972215,5.114673549339282,RX-4,Day,RM-005,0
MS022,22,107.03733225324926,53.48817620407802,4.8231048894349895,48.91128862387875,7.149098901691947,37.33171697228148,249.2232818994039,1.0182454463640365,5.41380666613535,RX-2,Night,RM-002,0
MS023,23,113.10385835487025,61.29255629424978,6.997621644145575,69.19490441279873,7.168268615956763,45.3863358774638,243.98672565936397,1.202024643809773,5.502111292874917,RX-4,Day,RM-002,0
MS024,24,109.57785774275274,53.20201762767739,10.19986248894833,59.82355537461146,7.1878888568514725,40.64782061509847,250.43777717460884,1.1724061736385873,3.1940581629573477,RX-3,Day,RM-002,0
MS025,25,106.41554197665413,52.208609571288825,8.498627891745029,62.82118366941677,7.2632902770435885,35.93154263687571,240.93187789041446,1.0139457641756657,5.517048929172283,RX-3,Night,RM-008,0
MS026,26,98.7591879085206,55.124991489359516,8.411909686018326,56.04463159042892,7.123638324856756,39.42864143328886,260.7569905378837,0.9687838375660944,4.190170481039809,RX-3,Day,RM-009,0
MS027,27,110.89616893000756,61.283195235371196,6.22604922464464,50.48751816656333,7.160609358790234,41.09413542424225,253.25602573959114,1.261762175634328,4.119071249334551,RX-3,Day,RM-009,0
MS028,28,109.12926028676152,56.28932225428835,8.419647477202366,52.117484375127546,7.335347440549413,44.563284380871515,233.08717683103623,1.1244428274017986,5.346168042605398,RX-1,,RM-004,0
MS029,29,103.3372771789068,56.87794578312991,4.787241532325682,45.45571550942236,7.16795033340184,43.373563981076124,267.47841871553146,1.131299322009168,8.343109775401487,RX-2,Day,RM-001,0
MS030,30,100.04347165904636,51.27031185146845,8.712748274930272,56.18332909186884,7.312013924949679,39.34501721289125,240.01319594716765,,2.9750391048233067,RX-1,Day,RM-002,0
MS031,31,96.92498158663216,51.50352066903251,9.968860557427988,62.77031019008781,7.022963152697746,43.80924338350603,245.94481595085267,1.131472145546563,2.5569634595636366,RX-3,,RM-003,0
MS032,32,89.54302633833122,55.99288783774311,6.973619009500488,25.283783351039364,7.165465572966581,55.56798421004193,263.8091780884814,1.0380699102549116,5.123861720807222,RX-2,Day,RM-004,0
MS033,33,110.42294898897978,54.627165271549714,9.826594116543193,38.13045324523994,7.29334574383984,40.484870853148806,240.4743517191128,1.286119490380329,2.6035608525679255,RX-1,Day,RM-004,0
MS034,34,81.53762696317595,57.16898267217974,7.120156927443009,38.87978753591541,7.244833856668041,25.165461068762266,274.739796190155,1.2766014499260405,4.828140305673005,RX-4,Day,RM-001,0
MS035,35,96.85374756025531,52.69257332104381,8.421062129879113,59.18832257798658,7.319295682350537,35.22415385730117,222.08255615681378,1.1645885371278821,2.4964240999161267,RX-1,Day,RM-002,0
MS036,36,117.54101090516278,59.159147014766226,7.996095770120078,58.882065101500764,7.14843816949654,38.14264207764328,220.0,0.85,5.539611106797452,RX-2,Day,RM-008,0
MS037,37,107.30899006920826,60.07242138098536,8.34080128223336,47.45983010331098,7.193774395800535,49.16819691034933,252.68408974497765,1.152748589059116,4.929332172664817,RX-2,,RM-009,0
MS038,38,114.97412051035039,51.35928412092615,10.49043060270112,68.55635305582018,6.967768826346535,49.412074104655844,232.7732663508294,1.1530236964215586,3.887292014058174,RX-3,Day,RM-007,0
MS039,39,108.4432520955904,56.7354125777201,9.521823952088216,47.81435397853982,7.054201129430952,39.11439346647395,250.97355693700302,1.222697603965883,6.458409269283982,RX-1,Day,RM-003,1
MS040,40,97.52206787816327,55.162329205875956,7.183417829281246,57.93156489035643,7.229092131266294,43.37748608787891,239.8885624369244,1.2065897504540346,5.22801884272546,RX-4,Day,RM-003,0
MS041,41,106.18908424205772,60.32781925397599,4.5,60.75849875543392,7.124563640650062,41.40525970097157,246.3893029346334,1.2942504969270872,5.754413520583301,RX-1,Night,RM-007,0
MS042,42,89.27639730618259,56.67748815963646,6.112412386837157,50.19571005012184,7.258123470863968,34.51964511537923,253.47110920922063,1.1242067141845338,3.5914934936138114,RX-4,Day,RM-009,0
MS043,43,112.15447747685401,58.85975578822607,9.345864291156921,63.419915265466585,7.15371838443548,42.54256664720137,251.19668777075734,0.8656557080045921,5.447561453111076,RX-3,Night,RM-004,0
